"year","host","odds","age","market_value","FIFA_rank","FIFA_points","UEFA_rank","UEFA_points","CL_players","EL_players","nationality_coach","host_opponent","odds_opponent","age_opponent","market_value_opponent","FIFA_rank_opponent","FIFA_points_opponent","UEFA_rank_opponent","UEFA_points_opponent","CL_players_opponent","EL_players_opponent","nationality_coach_opponent","result"
12,0,45,27.4,2.88,25,655,23,17.375,1,0,0,0,60,27.1,2.51,47,578,13,22.375,0,1,1,"draw"
12,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,0,7,25.7,12.48,12,714,2,62.153,4,1,0,"win"
12,0,7,25.7,12.48,12,714,2,62.153,4,1,0,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,"loss"
12,0,7,25.7,12.48,12,714,2,62.153,4,1,0,0,60,27.1,2.51,47,578,13,22.375,0,1,1,"win"
12,0,60,27.1,2.51,47,578,13,22.375,0,1,1,0,7,25.7,12.48,12,714,2,62.153,4,1,0,"loss"
12,0,45,27.4,2.88,25,655,23,17.375,1,0,0,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,"draw"
12,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,0,45,27.4,2.88,25,655,23,17.375,1,0,0,"draw"
12,0,45,27.4,2.88,25,655,23,17.375,1,0,0,0,7,25.7,12.48,12,714,2,62.153,4,1,0,"loss"
12,0,7,25.7,12.48,12,714,2,62.153,4,1,0,0,45,27.4,2.88,25,655,23,17.375,1,0,0,"win"
12,0,60,27.1,2.51,47,578,13,22.375,0,1,1,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,"loss"
12,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,0,60,27.1,2.51,47,578,13,22.375,0,1,1,"win"
12,0,20,26.9,4.18,14,700,22,17.45,1,0,1,0,5,28,16.15,11,717,3,59.186,0,0,1,"draw"
12,0,5,28,16.15,11,717,3,59.186,0,0,1,0,20,26.9,4.18,14,700,22,17.45,1,0,1,"draw"
12,0,20,27.3,4.32,21,660,24,16.716,0,0,1,0,60,27.7,2.3,38,618,20,19.998,0,0,1,"win"
12,0,60,27.7,2.3,38,618,20,19.998,0,0,1,0,20,27.3,4.32,21,660,24,16.716,0,0,1,"loss"
12,0,60,27.7,2.3,38,618,20,19.998,0,0,1,0,20,26.9,4.18,14,700,22,17.45,1,0,1,"loss"
12,0,20,26.9,4.18,14,700,22,17.45,1,0,1,0,60,27.7,2.3,38,618,20,19.998,0,0,1,"win"
12,0,5,28,16.15,11,717,3,59.186,0,0,1,0,20,27.3,4.32,21,660,24,16.716,0,0,1,"draw"
12,0,20,27.3,4.32,21,660,24,16.716,0,0,1,0,5,28,16.15,11,717,3,59.186,0,0,1,"draw"
12,0,5,28,16.15,11,717,3,59.186,0,0,1,0,60,27.7,2.3,38,618,20,19.998,0,0,1,"win"
12,0,60,27.7,2.3,38,618,20,19.998,0,0,1,0,5,28,16.15,11,717,3,59.186,0,0,1,"loss"
12,0,20,26.9,4.18,14,700,22,17.45,1,0,1,0,20,27.3,4.32,21,660,24,16.716,0,0,1,"draw"
12,0,20,27.3,4.32,21,660,24,16.716,0,0,1,0,20,26.9,4.18,14,700,22,17.45,1,0,1,"draw"
12,0,7,26.8,6.36,10,720,9,33.075,1,1,1,0,100,29,1.18,52,551,31,5.998,0,0,1,"win"
12,0,100,29,1.18,52,551,31,5.998,0,0,1,0,7,26.8,6.36,10,720,9,33.075,1,1,1,"loss"
12,0,7,27.1,7.25,9,723,4,49.489,0,0,1,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,"draw"
12,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,0,7,27.1,7.25,9,723,4,49.489,0,0,1,"draw"
12,0,100,29,1.18,52,551,31,5.998,0,0,1,0,7,27.1,7.25,9,723,4,49.489,0,0,1,"draw"
12,0,7,27.1,7.25,9,723,4,49.489,0,0,1,0,100,29,1.18,52,551,31,5.998,0,0,1,"draw"
12,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,0,7,26.8,6.36,10,720,9,33.075,1,1,1,"loss"
12,0,7,26.8,6.36,10,720,9,33.075,1,1,1,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,"win"
12,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,0,100,29,1.18,52,551,31,5.998,0,0,1,"win"
12,0,100,29,1.18,52,551,31,5.998,0,0,1,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,"loss"
12,0,7,27.1,7.25,9,723,4,49.489,0,0,1,0,7,26.8,6.36,10,720,9,33.075,1,1,1,"loss"
12,0,7,26.8,6.36,10,720,9,33.075,1,1,1,0,7,27.1,7.25,9,723,4,49.489,0,0,1,"win"
12,1,6,26.8,11.07,20,662,6,42.333,6,0,0,0,7,25.7,12.48,12,714,2,62.153,4,1,0,"draw"
12,0,7,25.7,12.48,12,714,2,62.153,4,1,0,1,6,26.8,11.07,20,662,6,42.333,6,0,0,"draw"
12,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,0,45,28.4,3.22,34,638,7,34.748,0,0,0,"loss"
12,0,45,28.4,3.22,34,638,7,34.748,0,0,0,0,3.25,28.3,12.93,2,819,5,48.326,4,2,1,"win"
12,0,20,27.3,4.32,21,660,24,16.716,0,0,1,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,"draw"
12,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,0,20,27.3,4.32,21,660,24,16.716,0,0,1,"draw"
12,0,7,26.8,6.36,10,720,9,33.075,1,1,1,0,20,26.9,4.18,14,700,22,17.45,1,0,1,"win"
12,0,20,26.9,4.18,14,700,22,17.45,1,0,1,0,7,26.8,6.36,10,720,9,33.075,1,1,1,"loss"
12,1,6,26.8,11.07,20,662,6,42.333,6,0,0,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,"win"
12,0,5.5,28.4,10.05,4,744,8,34.081,0,0,1,1,6,26.8,11.07,20,662,6,42.333,6,0,0,"loss"
12,0,45,28.4,3.22,34,638,7,34.748,0,0,0,0,7,26.8,6.36,10,720,9,33.075,1,1,1,"win"
12,0,7,26.8,6.36,10,720,9,33.075,1,1,1,0,45,28.4,3.22,34,638,7,34.748,0,0,0,"loss"
12,1,6,26.8,11.07,20,662,6,42.333,6,0,0,0,45,28.4,3.22,34,638,7,34.748,0,0,0,"loss"
12,0,45,28.4,3.22,34,638,7,34.748,0,0,0,1,6,26.8,11.07,20,662,6,42.333,6,0,0,"win"
8,1,22,26,3.56,48,617,16,24.225,0,0,1,0,15,28.4,4.87,6,1244,15,25.75,1,1,1,"loss"
8,0,15,28.4,4.87,6,1244,15,25.75,1,1,1,1,22,26,3.56,48,617,16,24.225,0,0,1,"win"
8,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,0,35,26.4,4.64,25,856,11,31.725,0,1,1,"win"
8,0,35,26.4,4.64,25,856,11,31.725,0,1,1,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,"loss"
8,0,15,28.4,4.87,6,1244,15,25.75,1,1,1,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,"loss"
8,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,0,15,28.4,4.87,6,1244,15,25.75,1,1,1,"win"
8,1,22,26,3.56,48,617,16,24.225,0,0,1,0,35,26.4,4.64,25,856,11,31.725,0,1,1,"loss"
8,0,35,26.4,4.64,25,856,11,31.725,0,1,1,1,22,26,3.56,48,617,16,24.225,0,0,1,"win"
8,1,22,26,3.56,48,617,16,24.225,0,0,1,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,"win"
8,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,1,22,26,3.56,48,617,16,24.225,0,0,1,"loss"
8,0,35,26.4,4.64,25,856,11,31.725,0,1,1,0,15,28.4,4.87,6,1244,15,25.75,1,1,1,"win"
8,0,15,28.4,4.87,6,1244,15,25.75,1,1,1,0,35,26.4,4.64,25,856,11,31.725,0,1,1,"loss"
8,1,75,26,1.91,101,328,20,17.7,0,0,1,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,"loss"
8,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,1,75,26,1.91,101,328,20,17.7,0,0,1,"win"
8,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,0,35,26.65,2.58,27,848,25,12.041,0,0,0,"win"
8,0,35,26.65,2.58,27,848,25,12.041,0,0,0,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,"loss"
8,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,"win"
8,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,"loss"
8,1,75,26,1.91,101,328,20,17.7,0,0,1,0,35,26.65,2.58,27,848,25,12.041,0,0,0,"draw"
8,0,35,26.65,2.58,27,848,25,12.041,0,0,0,1,75,26,1.91,101,328,20,17.7,0,0,1,"draw"
8,1,75,26,1.91,101,328,20,17.7,0,0,1,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,"loss"
8,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,1,75,26,1.91,101,328,20,17.7,0,0,1,"win"
8,0,35,26.65,2.58,27,848,25,12.041,0,0,0,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,"loss"
8,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,0,35,26.65,2.58,27,848,25,12.041,0,0,0,"win"
8,0,35,26.5,3.87,12,1082,7,40.599,0,1,1,0,8,27.4,14.08,7,1205,4,52.668,7,3,1,"draw"
8,0,8,27.4,14.08,7,1205,4,52.668,7,3,1,0,35,26.5,3.87,12,1082,7,40.599,0,1,1,"draw"
8,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,"win"
8,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,"loss"
8,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,0,35,26.5,3.87,12,1082,7,40.599,0,1,1,"draw"
8,0,35,26.5,3.87,12,1082,7,40.599,0,1,1,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,"draw"
8,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,0,8,27.4,14.08,7,1205,4,52.668,7,3,1,"win"
8,0,8,27.4,14.08,7,1205,4,52.668,7,3,1,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,"loss"
8,0,8,27.4,14.08,7,1205,4,52.668,7,3,1,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,"loss"
8,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,0,8,27.4,14.08,7,1205,4,52.668,7,3,1,"win"
8,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,0,35,26.5,3.87,12,1082,7,40.599,0,1,1,"win"
8,0,35,26.5,3.87,12,1082,7,40.599,0,1,1,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,"loss"
8,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,0,22,25.7,5.47,25,856,6,43.75,0,5,0,"win"
8,0,22,25.7,5.47,25,856,6,43.75,0,5,0,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,"loss"
8,0,22,28.7,3.71,8,1196,14,25.831,0,0,0,0,35,28.7,5.24,23,862,23,13.691,0,0,1,"loss"
8,0,35,28.7,5.24,23,862,23,13.691,0,0,1,0,22,28.7,3.71,8,1196,14,25.831,0,0,0,"win"
8,0,35,28.7,5.24,23,862,23,13.691,0,0,1,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,"loss"
8,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,0,35,28.7,5.24,23,862,23,13.691,0,0,1,"win"
8,0,22,28.7,3.71,8,1196,14,25.831,0,0,0,0,22,25.7,5.47,25,856,6,43.75,0,5,0,"loss"
8,0,22,25.7,5.47,25,856,6,43.75,0,5,0,0,22,28.7,3.71,8,1196,14,25.831,0,0,0,"win"
8,0,22,28.7,3.71,8,1196,14,25.831,0,0,0,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,"loss"
8,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,0,22,28.7,3.71,8,1196,14,25.831,0,0,0,"win"
8,0,22,25.7,5.47,25,856,6,43.75,0,5,0,0,35,28.7,5.24,23,862,23,13.691,0,0,1,"win"
8,0,35,28.7,5.24,23,862,23,13.691,0,0,1,0,22,25.7,5.47,25,856,6,43.75,0,5,0,"loss"
8,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,"loss"
8,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,0,7,26.5,11.84,9,1131,8,39.927,5,0,0,"win"
8,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,0,35,26.4,4.64,25,856,11,31.725,0,1,1,"draw"
8,0,35,26.4,4.64,25,856,11,31.725,0,1,1,0,12,27.2,5.67,13,1044,27,11.624,0,0,1,"draw"
8,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,0,22,25.7,5.47,25,856,6,43.75,0,5,0,"loss"
8,0,22,25.7,5.47,25,856,6,43.75,0,5,0,0,11,27.7,10.1,10,1123,9,38.213,2,0,1,"win"
8,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,"draw"
8,0,5.5,28.7,15.27,3,1396,3,60.41,1,2,1,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,"draw"
8,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,0,35,26.4,4.64,25,856,11,31.725,0,1,1,"win"
8,0,35,26.4,4.64,25,856,11,31.725,0,1,1,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,"loss"
8,0,22,25.7,5.47,25,856,6,43.75,0,5,0,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,"loss"
8,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,0,22,25.7,5.47,25,856,6,43.75,0,5,0,"win"
8,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,"loss"
8,0,6.5,26,16.57,4,1323,2,75.266,7,0,1,0,4.5,26.8,10.19,5,1264,5,48.722,1,5,1,"win"
4,1,30,25.7,3.71,62,518,14,15.916,0,0,1,0,60,27.8,3.64,62,953,14,34.166,0,0,0,"draw"
4,0,60,27.8,3.64,15,953,12,34.166,0,0,0,1,30,25.7,3.71,15,518,12,15.916,0,0,1,"draw"
4,0,25,28.9,7.05,13,975,9,44.707,0,1,0,0,50,27.8,4.4,13,771,9,20.85,1,0,1,"win"
4,0,50,27.8,4.4,27,771,17,20.85,1,0,1,0,25,28.9,7.05,27,975,17,44.707,0,1,0,"loss"
4,0,60,27.8,3.64,15,953,12,34.166,0,0,0,0,50,27.8,4.4,15,771,12,20.85,1,0,1,"loss"
4,0,50,27.8,4.4,27,771,17,20.85,1,0,1,0,60,27.8,3.64,27,953,17,34.166,0,0,0,"win"
4,1,30,25.7,3.71,62,518,14,15.916,0,0,1,0,25,28.9,7.05,62,975,14,44.707,0,1,0,"draw"
4,0,25,28.9,7.05,13,975,9,44.707,0,1,0,1,30,25.7,3.71,13,518,9,15.916,0,0,1,"draw"
4,0,60,27.8,3.64,15,953,12,34.166,0,0,0,0,25,28.9,7.05,15,975,12,44.707,0,1,0,"win"
4,0,25,28.9,7.05,13,975,9,44.707,0,1,0,0,60,27.8,3.64,13,953,9,34.166,0,0,0,"loss"
4,0,50,27.8,4.4,27,771,17,20.85,1,0,1,1,30,25.7,3.71,27,518,17,15.916,0,0,1,"win"
4,1,30,25.7,3.71,62,518,14,15.916,0,0,1,0,50,27.8,4.4,62,771,14,20.85,1,0,1,"loss"
4,0,3.2,25,19.96,3,1292,3,69.436,10,0,1,0,18,27.6,14.68,3,996,3,51.596,4,3,1,"win"
4,0,18,27.6,14.68,10,996,5,51.596,4,3,1,0,3.2,25,19.96,10,1292,5,69.436,10,0,1,"loss"
4,0,7,27.7,12.04,4,1234,4,40.129,2,1,1,0,60,27.1,3.78,4,1019,4,30.55,0,0,1,"loss"
4,0,60,27.1,3.78,9,1019,22,30.55,0,0,1,0,7,27.7,12.04,9,1234,22,40.129,2,1,1,"win"
4,0,7,27.7,12.04,4,1234,4,40.129,2,1,1,0,3.2,25,19.96,4,1292,4,69.436,10,0,1,"loss"
4,0,3.2,25,19.96,3,1292,3,69.436,10,0,1,0,7,27.7,12.04,3,1234,3,40.129,2,1,1,"win"
4,0,60,27.1,3.78,9,1019,22,30.55,0,0,1,0,18,27.6,14.68,9,996,22,51.596,4,3,1,"loss"
4,0,18,27.6,14.68,10,996,5,51.596,4,3,1,0,60,27.1,3.78,10,1019,5,30.55,0,0,1,"win"
4,0,18,27.6,14.68,10,996,5,51.596,4,3,1,0,7,27.7,12.04,10,1234,5,40.129,2,1,1,"win"
4,0,7,27.7,12.04,4,1234,4,40.129,2,1,1,0,18,27.6,14.68,4,996,4,51.596,4,3,1,"loss"
4,0,60,27.1,3.78,9,1019,22,30.55,0,0,1,0,3.2,25,19.96,9,1292,22,69.436,10,0,1,"loss"
4,0,3.2,25,19.96,3,1292,3,69.436,10,0,1,0,60,27.1,3.78,3,1019,3,30.55,0,0,1,"win"
4,0,3.2,27.2,28.61,1,1456,1,82.329,14,3,1,0,12,28.4,12.87,1,977,1,60.552,0,0,1,"draw"
4,0,12,28.4,12.87,12,977,6,60.552,0,0,1,0,3.2,27.2,28.61,12,1456,6,82.329,14,3,1,"draw"
4,0,75,28.9,3.09,18,907,35,8.708,0,0,0,0,30,27,6.63,18,1053,35,16.124,1,0,1,"loss"
4,0,30,27,6.63,8,1053,20,16.124,1,0,1,0,75,28.9,3.09,8,907,20,8.708,0,0,0,"win"
4,0,12,28.4,12.87,12,977,6,60.552,0,0,1,0,30,27,6.63,12,1053,6,16.124,1,0,1,"draw"
4,0,30,27,6.63,8,1053,20,16.124,1,0,1,0,12,28.4,12.87,8,977,20,60.552,0,0,1,"draw"
4,0,3.2,27.2,28.61,1,1456,1,82.329,14,3,1,0,75,28.9,3.09,1,907,1,8.708,0,0,0,"win"
4,0,75,28.9,3.09,18,907,35,8.708,0,0,0,0,3.2,27.2,28.61,18,1456,35,82.329,14,3,1,"loss"
4,0,12,28.4,12.87,12,977,6,60.552,0,0,1,0,75,28.9,3.09,12,907,6,8.708,0,0,0,"win"
4,0,75,28.9,3.09,18,907,35,8.708,0,0,0,0,12,28.4,12.87,18,977,35,60.552,0,0,1,"loss"
4,0,30,27,6.63,8,1053,20,16.124,1,0,1,0,3.2,27.2,28.61,8,1456,20,82.329,14,3,1,"loss"
4,0,3.2,27.2,28.61,1,1456,1,82.329,14,3,1,0,30,27,6.63,1,1053,1,16.124,1,0,1,"win"
4,0,12,27.3,14.78,14,964,7,53.678,3,1,1,0,10,26.5,17.05,14,1145,7,85.785,2,0,1,"draw"
4,0,10,26.5,17.05,6,1145,2,85.785,2,0,1,0,12,27.3,14.78,6,964,2,53.678,3,1,1,"draw"
4,1,45,27.9,4.67,52,572,11,43.883,1,0,1,0,50,28.9,5.34,52,910,11,14.125,0,0,1,"win"
4,0,50,28.9,5.34,17,910,23,14.125,0,0,1,1,45,27.9,4.67,17,572,23,43.883,1,0,1,"loss"
4,0,50,28.9,5.34,17,910,23,14.125,0,0,1,0,10,26.5,17.05,17,1145,23,85.785,2,0,1,"loss"
4,0,10,26.5,17.05,6,1145,2,85.785,2,0,1,0,50,28.9,5.34,6,910,2,14.125,0,0,1,"win"
4,1,45,27.9,4.67,52,572,11,43.883,1,0,1,0,12,27.3,14.78,52,964,11,53.678,3,1,1,"loss"
4,0,12,27.3,14.78,14,964,7,53.678,3,1,1,1,45,27.9,4.67,14,572,7,43.883,1,0,1,"win"
4,0,10,26.5,17.05,6,1145,2,85.785,2,0,1,1,45,27.9,4.67,6,572,2,43.883,1,0,1,"win"
4,1,45,27.9,4.67,52,572,11,43.883,1,0,1,0,10,26.5,17.05,52,1145,11,85.785,2,0,1,"loss"
4,0,50,28.9,5.34,17,910,23,14.125,0,0,1,0,12,27.3,14.78,17,964,23,53.678,3,1,1,"win"
4,0,12,27.3,14.78,14,964,7,53.678,3,1,1,0,50,28.9,5.34,14,910,7,14.125,0,0,1,"loss"
4,0,50,27.8,4.4,27,771,17,20.85,1,0,1,0,18,27.6,14.68,27,996,17,51.596,4,3,1,"loss"
4,0,18,27.6,14.68,10,996,5,51.596,4,3,1,0,50,27.8,4.4,10,771,5,20.85,1,0,1,"win"
4,0,3.2,25,19.96,3,1292,3,69.436,10,0,1,0,60,27.8,3.64,3,953,3,34.166,0,0,0,"win"
4,0,60,27.8,3.64,15,953,12,34.166,0,0,0,0,3.2,25,19.96,15,1292,12,69.436,10,0,1,"loss"
4,0,3.2,27.2,28.61,1,1456,1,82.329,14,3,1,0,12,27.3,14.78,1,964,1,53.678,3,1,1,"win"
4,0,12,27.3,14.78,14,964,7,53.678,3,1,1,0,3.2,27.2,28.61,14,1456,7,82.329,14,3,1,"loss"
4,0,10,26.5,17.05,6,1145,2,85.785,2,0,1,0,12,28.4,12.87,6,977,2,60.552,0,0,1,"draw"
4,0,12,28.4,12.87,12,977,6,60.552,0,0,1,0,10,26.5,17.05,12,1145,6,85.785,2,0,1,"draw"
4,0,18,27.6,14.68,10,996,5,51.596,4,3,1,0,3.2,27.2,28.61,10,1456,5,82.329,14,3,1,"draw"
4,0,3.2,27.2,28.61,1,1456,1,82.329,14,3,1,0,18,27.6,14.68,1,996,1,51.596,4,3,1,"draw"
4,0,3.2,25,19.96,3,1292,3,69.436,10,0,1,0,12,28.4,12.87,3,977,3,60.552,0,0,1,"loss"
4,0,12,28.4,12.87,12,977,6,60.552,0,0,1,0,3.2,25,19.96,12,1292,6,69.436,10,0,1,"win"
4,0,3.2,27.2,28.61,1,1456,1,82.329,14,3,1,0,12,28.4,12.87,1,977,1,60.552,0,0,1,"win"
4,0,12,28.4,12.87,12,977,6,60.552,0,0,1,0,3.2,27.2,28.61,12,1456,6,82.329,14,3,1,"loss"
